run_id,joined_rows,active_n,correct,directional_accuracy,signal_coverage,binomial_p_value_vs_0_5,wilson_ci_low_95,wilson_ci_high_95
gpt2-spy-20260430-150000,132,48,30,0.625,0.36363636363636365,0.11140289106101875,0.4836276351921527,0.747847332391318
2026-05-04_18-09-40_nvda_gpt2_nvda-binary-direction-features,133,133,74,0.556390977443609,1.0,0.22462992985836266,0.47155339880449126,0.6380625036367036
baseline-gpt2-no-finetune_nvda-amd,324,324,178,0.5493827160493827,1.0,0.08487143461667075,0.49494205773494565,0.6026660974846836
2026-05-03_01-12-20_nvda-amd_gpt2_nvda-ambd-gpt2,324,117,62,0.5299145299145299,0.3611111111111111,0.579290250187703,0.4399704900134548,0.6179566491349288
2026-04-30_15-49-24_spy-qqq_gpt2_spy-qqq-baseline,301,142,75,0.528169014084507,0.4717607973421927,0.5570709871103278,0.4464045709914089,0.608449515526168
2026-05-04_09-09-04_nvda_gpt2_nvda-label-scoring,133,133,66,0.49624060150375937,1.0,1.0,0.4125744390303046,0.5801178341402824
2026-05-05_10-41-34_nvda-amd-avgo_gpt2_nvda-amd-avgo,402,402,197,0.4900497512437811,1.0,0.7270409205414146,0.44150828828722866,0.5387795807164788
2026-05-04_00-31-31_nvda_gpt2_nvda-tagged-structured-prompt,133,58,28,0.4827586206896552,0.43609022556390975,0.8956832138895904,0.3592818542405501,0.6083773821659054
2026-05-12_09-20-01_nvda-amd_gpt2_nvda-amd-label-scoring,326,326,154,0.4723926380368098,1.0,0.34644120907129916,0.4188363225193639,0.5265920051858411
2026-05-02_13-05-30_nvda_gpt2_nvda-single,132,78,36,0.46153846153846156,0.5909090909090909,0.5715867180030725,0.35532396322799065,0.5713635605960243
2026-05-03_12-41-00_nvda_gpt2_nvda-structured-prompt,133,80,32,0.4,0.6015037593984962,0.09291188222054621,0.2996182759587093,0.5095453499483961
