ticker,date_t,date_t1,target_market_date,real_label,generated_label,target_direction_label,generated_direction_label,real_signal,generated_signal,actual_direction,actual_return_1d,generated_direction_correct,real_direction_correct,abs_return_1d,volatility_bucket
AMD,2023-04-17,2023-04-18,2023-04-18,neutral,positive,down,down,0,-1,-1,-0.0010014906479857,True,False,0.0010014906479857,low
NVDA,2023-04-17,2023-04-18,2023-04-18,positive,positive,up,down,1,-1,1,0.0246277678787441,False,True,0.0246277678787441,high
AMD,2023-04-18,2023-04-19,2023-04-19,negative,negative,up,down,-1,-1,1,0.0017821749196356,False,False,0.0017821749196356,low
NVDA,2023-04-18,2023-04-19,2023-04-19,positive,positive,up,down,1,-1,1,0.0095420515672839,False,True,0.0095420515672839,low
AMD,2023-04-19,2023-04-20,2023-04-20,neutral,neutral,up,down,0,-1,1,0.0018901285782826,False,False,0.0018901285782826,low
NVDA,2023-04-19,2023-04-20,2023-04-20,neutral,negative,down,down,0,-1,-1,-0.0296086667693716,True,False,0.0296086667693716,high
AMD,2023-04-20,2023-04-21,2023-04-21,neutral,neutral,down,down,0,-1,-1,-0.0186438829630058,True,False,0.0186438829630058,high
NVDA,2023-04-20,2023-04-21,2023-04-21,neutral,neutral,flat,down,0,-1,1,0.0005534013281349,False,False,0.0005534013281349,low
NVDA,2023-04-21,2023-04-22,2023-04-24,neutral,neutral,down,down,0,-1,-1,-0.0028393254094796,True,False,0.0028393254094796,low
AMD,2023-04-24,2023-04-25,2023-04-25,neutral,neutral,down,down,0,-1,-1,-0.0430512350828434,True,False,0.0430512350828434,high
NVDA,2023-04-24,2023-04-25,2023-04-25,positive,positive,down,down,1,-1,-1,-0.0296206123998398,True,False,0.0296206123998398,high
AMD,2023-04-25,2023-04-26,2023-04-26,neutral,neutral,up,down,0,-1,1,0.0255369846266795,False,False,0.0255369846266795,high
NVDA,2023-04-25,2023-04-26,2023-04-26,negative,negative,up,down,-1,-1,1,0.0272474438394803,False,False,0.0272474438394803,high
AMD,2023-04-26,2023-04-27,2023-04-27,neutral,neutral,up,down,0,-1,1,0.0174540372048825,False,False,0.0174540372048825,high
NVDA,2023-04-26,2023-04-27,2023-04-27,positive,neutral,up,down,1,-1,1,0.0100163401109214,False,True,0.0100163401109214,low
AMD,2023-04-27,2023-04-28,2023-04-28,neutral,neutral,up,down,0,-1,1,0.0220722810074152,False,False,0.0220722810074152,high
NVDA,2023-04-27,2023-04-28,2023-04-28,positive,negative,up,down,1,-1,1,0.0192096055383588,False,True,0.0192096055383588,high
NVDA,2023-04-28,2023-04-29,2023-05-01,positive,positive,up,down,1,-1,1,0.0418393194389952,False,True,0.0418393194389952,high
AMD,2023-05-01,2023-05-02,2023-05-02,negative,neutral,up,down,-1,-1,1,0.00245290684262,False,False,0.00245290684262,low
NVDA,2023-05-01,2023-05-02,2023-05-02,negative,neutral,down,down,-1,-1,-1,-0.0242131015784876,True,True,0.0242131015784876,high
AMD,2023-05-02,2023-05-03,2023-05-03,neutral,positive,down,down,0,-1,-1,-0.0922033208527272,True,False,0.0922033208527272,high
NVDA,2023-05-02,2023-05-03,2023-05-03,positive,neutral,down,down,1,-1,-1,-0.0144629227911198,True,False,0.0144629227911198,low
AMD,2023-05-03,2023-05-04,2023-05-04,positive,negative,up,down,1,-1,1,0.0611369480011259,False,True,0.0611369480011259,high
NVDA,2023-05-03,2023-05-04,2023-05-04,positive,neutral,down,down,1,-1,-1,-0.0086324642372132,True,False,0.0086324642372132,low
AMD,2023-05-04,2023-05-05,2023-05-05,neutral,positive,up,down,0,-1,1,0.0372935654633053,False,False,0.0372935654633053,high
NVDA,2023-05-04,2023-05-05,2023-05-05,neutral,neutral,up,down,0,-1,1,0.0405630948181043,False,False,0.0405630948181043,high
AMD,2023-05-05,2023-05-06,2023-05-08,negative,negative,up,down,-1,-1,1,0.0578807300712631,False,False,0.0578807300712631,high
AMD,2023-05-08,2023-05-09,2023-05-09,neutral,positive,flat,down,0,-1,1,0.0002104023871398,False,False,0.0002104023871398,low
NVDA,2023-05-08,2023-05-09,2023-05-09,neutral,negative,down,down,0,-1,-1,-0.0198963995137507,True,False,0.0198963995137507,high
AMD,2023-05-09,2023-05-10,2023-05-10,negative,negative,up,down,-1,-1,1,0.0206185475995257,False,False,0.0206185475995257,high
NVDA,2023-05-09,2023-05-10,2023-05-10,neutral,neutral,up,down,0,-1,1,0.0109902030998239,False,False,0.0109902030998239,low
AMD,2023-05-10,2023-05-11,2023-05-11,neutral,positive,flat,down,0,-1,1,0.000824591154636,False,False,0.000824591154636,low
NVDA,2023-05-10,2023-05-11,2023-05-11,neutral,neutral,down,down,0,-1,-1,-0.010628392295619,True,False,0.010628392295619,low
AMD,2023-05-11,2023-05-12,2023-05-12,neutral,neutral,down,down,0,-1,-1,-0.0189494991432056,True,False,0.0189494991432056,high
NVDA,2023-05-11,2023-05-12,2023-05-12,positive,neutral,down,down,1,-1,-1,-0.0083280484908933,True,False,0.0083280484908933,low
NVDA,2023-05-12,2023-05-13,2023-05-15,neutral,positive,up,down,0,-1,1,0.0216301679287875,False,False,0.0216301679287875,high
AMD,2023-05-15,2023-05-16,2023-05-16,neutral,positive,up,up,0,1,1,0.0418891351862109,True,False,0.0418891351862109,high
NVDA,2023-05-15,2023-05-16,2023-05-16,neutral,negative,up,down,0,-1,1,0.0089800793295786,False,False,0.0089800793295786,low
AMD,2023-05-16,2023-05-17,2023-05-17,neutral,positive,up,down,0,-1,1,0.0223689058728366,False,False,0.0223689058728366,high
NVDA,2023-05-16,2023-05-17,2023-05-17,neutral,neutral,up,down,0,-1,1,0.0330332445918573,False,False,0.0330332445918573,high
AMD,2023-05-17,2023-05-18,2023-05-18,positive,negative,up,down,1,-1,1,0.0402891595679593,False,True,0.0402891595679593,high
NVDA,2023-05-17,2023-05-18,2023-05-18,positive,negative,up,down,1,-1,1,0.049705084002535,False,True,0.049705084002535,high
AMD,2023-05-18,2023-05-19,2023-05-19,neutral,neutral,down,down,0,-1,-1,-0.0195497137439587,True,False,0.0195497137439587,high
NVDA,2023-05-18,2023-05-19,2023-05-19,negative,negative,down,down,-1,-1,-1,-0.0130689931206476,True,True,0.0130689931206476,low
AMD,2023-05-22,2023-05-23,2023-05-23,neutral,neutral,up,up,0,1,1,0.0011111365424261,True,False,0.0011111365424261,low
NVDA,2023-05-22,2023-05-23,2023-05-23,neutral,positive,down,down,0,-1,-1,-0.0156530940606856,True,False,0.0156530940606856,low
AMD,2023-05-23,2023-05-24,2023-05-24,neutral,positive,up,up,0,1,1,0.0013872909052354,True,False,0.0013872909052354,low
NVDA,2023-05-23,2023-05-24,2023-05-24,neutral,positive,down,down,0,-1,-1,-0.0048878916799,True,False,0.0048878916799,low
AMD,2023-05-24,2023-05-25,2023-05-25,positive,positive,up,up,1,1,1,0.1115729399242415,True,True,0.1115729399242415,high
NVDA,2023-05-24,2023-05-25,2023-05-25,neutral,positive,up,down,0,-1,1,0.2436963589428,False,False,0.2436963589428,high
AMD,2023-05-25,2023-05-26,2023-05-26,neutral,positive,up,up,0,1,1,0.0555047809710789,True,False,0.0555047809710789,high
NVDA,2023-05-25,2023-05-26,2023-05-26,neutral,neutral,up,down,0,-1,1,0.0254344290393482,False,False,0.0254344290393482,high
AMD,2023-05-26,2023-05-27,2023-05-30,neutral,neutral,down,down,0,-1,-1,-0.0138550118329789,True,False,0.0138550118329789,low
NVDA,2023-05-26,2023-05-27,2023-05-30,neutral,positive,up,down,0,-1,1,0.0299132373308677,False,False,0.0299132373308677,high
AMD,2023-05-30,2023-05-31,2023-05-31,neutral,neutral,down,down,0,-1,-1,-0.0563582481662381,True,False,0.0563582481662381,high
NVDA,2023-05-30,2023-05-31,2023-05-31,negative,positive,down,down,-1,-1,-1,-0.0567674808352143,True,True,0.0567674808352143,high
AMD,2023-05-31,2023-06-01,2023-06-01,positive,neutral,up,up,1,1,1,0.0106590148548268,True,True,0.0106590148548268,low
NVDA,2023-05-31,2023-06-01,2023-06-01,positive,neutral,up,down,1,-1,1,0.0511709267514395,False,True,0.0511709267514395,high
AMD,2023-06-01,2023-06-02,2023-06-02,positive,neutral,down,up,1,1,-1,-0.0134761914614642,False,False,0.0134761914614642,low
NVDA,2023-06-01,2023-06-02,2023-06-02,neutral,positive,down,down,0,-1,-1,-0.0111390693577563,True,False,0.0111390693577563,low
AMD,2023-06-02,2023-06-03,2023-06-05,neutral,positive,flat,up,0,1,1,0.0005939224033744,True,False,0.0005939224033744,low
NVDA,2023-06-02,2023-06-03,2023-06-05,neutral,positive,down,down,0,-1,-1,-0.0039666954334697,True,False,0.0039666954334697,low
AMD,2023-06-05,2023-06-06,2023-06-06,negative,neutral,up,up,-1,1,1,0.0534215469808772,True,False,0.0534215469808772,high
NVDA,2023-06-05,2023-06-06,2023-06-06,positive,neutral,down,down,1,-1,-1,-0.0131985930096705,True,False,0.0131985930096705,low
AMD,2023-06-06,2023-06-07,2023-06-07,neutral,neutral,down,up,0,1,-1,-0.0515173577472314,False,False,0.0515173577472314,high
NVDA,2023-06-06,2023-06-07,2023-06-07,positive,positive,down,down,1,-1,-1,-0.0305013937747818,True,False,0.0305013937747818,high
AMD,2023-06-07,2023-06-08,2023-06-08,positive,neutral,up,up,1,1,1,0.0273275156637948,True,True,0.0273275156637948,high
NVDA,2023-06-07,2023-06-08,2023-06-08,neutral,positive,up,down,0,-1,1,0.0276184093276705,False,False,0.0276184093276705,high
AMD,2023-06-08,2023-06-09,2023-06-09,neutral,neutral,up,down,0,-1,1,0.031970219079902,False,False,0.031970219079902,high
NVDA,2023-06-08,2023-06-09,2023-06-09,positive,neutral,up,down,1,-1,1,0.0067515488850355,False,True,0.0067515488850355,low
AMD,2023-06-09,2023-06-10,2023-06-12,neutral,positive,up,down,0,-1,1,0.0341819111035053,False,False,0.0341819111035053,high
NVDA,2023-06-09,2023-06-10,2023-06-12,positive,negative,up,down,1,-1,1,0.0183646628174662,False,True,0.0183646628174662,high
AMD,2023-06-12,2023-06-13,2023-06-13,positive,neutral,down,down,1,-1,-1,-0.0360709309857232,True,False,0.0360709309857232,high
NVDA,2023-06-12,2023-06-13,2023-06-13,positive,negative,up,down,1,-1,1,0.0390051409815817,False,True,0.0390051409815817,high
AMD,2023-06-13,2023-06-14,2023-06-14,positive,neutral,up,down,1,-1,1,0.0224845666040696,False,True,0.0224845666040696,high
NVDA,2023-06-13,2023-06-14,2023-06-14,neutral,negative,up,down,0,-1,1,0.0481449544067322,False,False,0.0481449544067322,high
AMD,2023-06-14,2023-06-15,2023-06-15,neutral,negative,down,down,0,-1,-1,-0.0242676817941546,True,False,0.0242676817941546,high
NVDA,2023-06-14,2023-06-15,2023-06-15,negative,neutral,down,down,-1,-1,-1,-0.008000599037955,True,True,0.008000599037955,low
AMD,2023-06-15,2023-06-16,2023-06-16,negative,negative,down,down,-1,-1,-1,-0.0334835488107165,True,True,0.0334835488107165,high
NVDA,2023-06-15,2023-06-16,2023-06-16,neutral,negative,flat,down,0,-1,1,0.0009143897253502,False,False,0.0009143897253502,low
AMD,2023-06-16,2023-06-17,2023-06-20,neutral,positive,down,down,0,-1,-1,-0.0095769612620166,True,False,0.0095769612620166,low
NVDA,2023-06-16,2023-06-17,2023-06-20,neutral,negative,up,down,0,-1,1,0.0261406652148443,False,False,0.0261406652148443,high
AMD,2023-06-20,2023-06-21,2023-06-21,neutral,neutral,down,down,0,-1,-1,-0.0573446538074835,True,False,0.0573446538074835,high
NVDA,2023-06-20,2023-06-21,2023-06-21,neutral,negative,down,down,0,-1,-1,-0.0174169218331864,True,False,0.0174169218331864,high
