ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,target_sentiment_label,structured_generated_label,structured_sentiment_match,target_direction_label,generated_direction_label,real_net_sentiment,generated_net_sentiment,kl_divergence
AMD,2023-04-17,2023-04-18,0.2178944994038604,0.7019117631445474,0.08019373745159218,0.011601252675822515,0.1823008091015877,0.8060979382225898,neutral,positive,False,positive,neutral,False,down,down,-0.1377007619522682,0.7944966855467672,1.4002764885805077
NVDA,2023-04-17,2023-04-18,0.06392110234381411,0.05755958791910988,0.878519309737076,0.02088165295303669,0.02588924638992467,0.9532291006570386,positive,positive,True,positive,neutral,False,up,down,0.8145982073932619,0.9323474477040019,0.04580082282171903
AMD,2023-04-18,2023-04-19,0.9729789078635818,0.018217572161920072,0.008803519974498153,0.9732008376993068,0.01703062059853817,0.0097685417021551,negative,negative,True,neutral,neutral,True,up,down,-0.9641753878890836,-0.9634322959971516,8.977764023184064e-05
NVDA,2023-04-18,2023-04-19,0.016325487340862463,0.1396430924049254,0.8440314202542122,0.02794734916149807,0.021854607144132922,0.950198043694369,positive,positive,True,positive,neutral,False,up,down,0.8277059329133497,0.9222506945328709,0.15021504383987194
AMD,2023-04-19,2023-04-20,0.022226193381584224,0.9383482109782719,0.039425595640143855,0.023890184372049855,0.9107189229357182,0.0653908926922319,neutral,neutral,True,positive,neutral,False,up,down,0.01719940225855963,0.041500708320182045,0.006491493233574828
NVDA,2023-04-19,2023-04-20,0.008175174500113621,0.8349680094568652,0.15685681604302112,0.9595506394093595,0.024384333684192336,0.016065026906448246,neutral,negative,False,neutral,neutral,True,down,down,0.1486816415429075,-0.9434856125029112,3.268790023958128
AMD,2023-04-20,2023-04-21,0.00992183217647763,0.8503793620568034,0.13969880576671892,0.014979000967230637,0.9380483522484263,0.04697264678434305,neutral,neutral,True,neutral,neutral,True,down,down,0.1297769735902413,0.031993645817112414,0.06473574075475835
NVDA,2023-04-20,2023-04-21,0.028929699427855754,0.9112897583193313,0.059780542252812846,0.010503326337253812,0.768708810077156,0.22078786358559027,neutral,neutral,True,positive,neutral,False,flat,down,0.030850842824957092,0.21028453724833646,0.10626104290641303
NVDA,2023-04-21,2023-04-22,0.02609938182253736,0.8803163717669451,0.0935842464105175,0.01560253661574823,0.8185165585466962,0.16588090483755547,neutral,neutral,True,neutral,neutral,True,down,down,0.06748486458798014,0.15027836822180723,0.023935416774263363
AMD,2023-04-24,2023-04-25,0.015238258476762748,0.8854108751986255,0.09935086632461176,0.03490150282342913,0.8716797070264871,0.09341879015008378,neutral,neutral,True,neutral,neutral,True,down,down,0.08411260784784902,0.05851728732665465,0.007327050529796265
NVDA,2023-04-24,2023-04-25,0.009024632708045557,0.344583466787972,0.6463919005039824,0.013903772277149546,0.04125580882878851,0.9448404188940619,positive,positive,True,negative,neutral,False,down,down,0.6373672677959369,0.9309366466169123,0.4821163746698908
AMD,2023-04-25,2023-04-26,0.01525829204122667,0.6582730945849411,0.3264686133738322,0.017000275772051567,0.7540459267698338,0.2289537974581146,neutral,neutral,True,positive,neutral,False,up,down,0.3112103213326055,0.21195352168606302,0.024770511159970834
NVDA,2023-04-25,2023-04-26,0.8128267042144117,0.15835817704450028,0.02881511874108799,0.5173721776043335,0.36891177614734555,0.1137160462483209,negative,negative,True,positive,neutral,False,up,down,-0.7840115854733237,-0.40365613135601264,0.19371815097019926
AMD,2023-04-26,2023-04-27,0.021864683891373055,0.9474228444057918,0.030712471702835118,0.023132415789974686,0.7429247595378632,0.2339428246721621,neutral,neutral,True,neutral,neutral,True,up,down,0.008847787811462064,0.2108104088821874,0.16677536788656305
NVDA,2023-04-26,2023-04-27,0.02376634494775841,0.0532448746313411,0.9229887804209005,0.014205515913870778,0.9136907202635228,0.07210376382260635,positive,neutral,False,positive,neutral,False,up,down,0.8992224354731421,0.057898247908735566,2.2140476309779293
AMD,2023-04-27,2023-04-28,0.012262475156643526,0.9096795625504704,0.078057962292886,0.01670809443993761,0.9059061902846449,0.07738571527541747,neutral,neutral,True,neutral,neutral,True,up,down,0.06579548713624248,0.06067762083547987,0.0006629879267561016
NVDA,2023-04-27,2023-04-28,0.06836350128324341,0.04711672339886934,0.8845197753178873,0.9605304396369861,0.017077837839186996,0.02239172252382691,positive,negative,False,positive,neutral,False,up,down,0.8161562740346439,-0.9381387171131592,3.118963044615285
NVDA,2023-04-28,2023-04-29,0.009991679005603823,0.24703638917458243,0.7429719318198138,0.020877383412087887,0.025032176912319747,0.9540904396755924,positive,positive,True,positive,neutral,False,up,down,0.73298025281421,0.9332130562635045,0.3723781468076026
AMD,2023-05-01,2023-05-02,0.8704992115041079,0.10410021458771519,0.025400573908176856,0.01168682031916789,0.5939700492849564,0.39434313039587565,negative,neutral,False,positive,neutral,False,up,down,-0.8450986375959311,0.38265631007670775,3.5014306520637803
NVDA,2023-05-01,2023-05-02,0.9463761519370686,0.02916401273879418,0.024459835324137175,0.041509375285427086,0.8697974150612757,0.08869320965329713,negative,neutral,False,positive,neutral,False,down,down,-0.9219163166129314,0.04718383436787005,2.8285247441866628
AMD,2023-05-02,2023-05-03,0.38649414141458693,0.44870658065994323,0.1647992779254698,0.009039311678185419,0.3147659602712523,0.6761947280505624,neutral,positive,False,positive,neutral,False,down,down,-0.22169486348911713,0.667155416372377,1.377920254788919
NVDA,2023-05-02,2023-05-03,0.025482273346315237,0.3538649167870058,0.6206528098666789,0.016007085770975697,0.9094367806503398,0.07455613357868444,positive,neutral,False,negative,neutral,False,down,down,0.5951705365203637,0.05854904780770875,0.9931308620773244
AMD,2023-05-03,2023-05-04,0.022116480601173646,0.06397699624278579,0.9139065231560406,0.84370887605167,0.043082046738419436,0.11320907720991054,positive,negative,False,positive,neutral,False,up,down,0.8917900425548669,-0.7304997988417594,1.85344719742172
NVDA,2023-05-03,2023-05-04,0.02977002036275467,0.03138094960818316,0.9388490300290622,0.013321873570620682,0.8040595553323867,0.18261857109699264,positive,neutral,False,positive,neutral,False,down,down,0.9090790096663075,0.16929669752637197,1.4592899586807695
AMD,2023-05-04,2023-05-05,0.017645567918502806,0.7943974851727111,0.18795694690878612,0.009081052980916063,0.10840088942753189,0.882518057591552,neutral,positive,False,positive,neutral,False,up,down,0.1703113789902833,0.8734370046106359,1.3032732965392984
NVDA,2023-05-04,2023-05-05,0.01687271002558103,0.7464821519409641,0.23664513803345485,0.04009313166210898,0.8508427206489646,0.10906414768892636,neutral,neutral,True,neutral,neutral,True,up,down,0.21977242800787383,0.06897101602681738,0.07102653902157718
AMD,2023-05-05,2023-05-06,0.9511250354930529,0.03920821140640446,0.009666753100542616,0.6147662630217621,0.039568120225076386,0.3456656167531616,negative,negative,True,neutral,neutral,True,up,down,-0.9414582823925103,-0.2691006462686005,0.3801400855368842
AMD,2023-05-08,2023-05-09,0.016850548084739292,0.8398300518818392,0.14331940003342145,0.009137138860481066,0.08121317746062841,0.9096496836788905,neutral,positive,False,negative,neutral,False,flat,down,0.12646885194868215,0.9005125448184095,1.7074066916802946
NVDA,2023-05-08,2023-05-09,0.02075082338837709,0.7328400329785808,0.2464091436330421,0.6894297497059442,0.0620726486731671,0.2484976016208887,neutral,negative,False,positive,neutral,False,down,down,0.225658320244665,-0.4409321480850555,1.7343294421238542
AMD,2023-05-09,2023-05-10,0.7346308876103992,0.2319086915322623,0.033460420857338545,0.973440337992882,0.016163111421537875,0.01039655058558011,negative,negative,True,positive,neutral,False,up,down,-0.7011704667530606,-0.9630437874073019,0.4500509836382403
NVDA,2023-05-09,2023-05-10,0.030008266605159643,0.8874568641665884,0.08253486922825194,0.011032613631358412,0.7906565526693187,0.19831083369932295,neutral,neutral,True,positive,neutral,False,up,down,0.0525266026230923,0.18727822006796455,0.06017342554236692
AMD,2023-05-10,2023-05-11,0.011113954563070681,0.9143934130654597,0.07449263237146954,0.33139434950641317,0.020624950835480552,0.6479806996581062,neutral,positive,False,positive,neutral,False,flat,down,0.06337867780839886,0.31658635015169306,3.268287178113337
NVDA,2023-05-10,2023-05-11,0.08170193236557685,0.8369006479688423,0.08139741966558081,0.01413630104102767,0.6814210713159203,0.304442627643052,neutral,neutral,True,positive,neutral,False,down,down,-0.00030451269999604014,0.2903063266020244,0.20796171743237424
AMD,2023-05-11,2023-05-12,0.021000823851634896,0.9287146476161092,0.05028452853225592,0.03715375521377672,0.9324479311506733,0.030398313635549998,neutral,neutral,True,neutral,neutral,True,down,down,0.029283704680621025,-0.006755441578226724,0.009601884938486467
NVDA,2023-05-11,2023-05-12,0.008588524775258958,0.2853323300927597,0.7060791451319813,0.12604194222171905,0.8018463431825906,0.07211171459569035,positive,neutral,False,positive,neutral,False,down,down,0.6974906203567224,-0.0539302276260287,1.2930336484872433
NVDA,2023-05-12,2023-05-13,0.028933903448251815,0.9289038854332332,0.04216221111851496,0.028325946632248113,0.019628267479319363,0.9520457858884325,neutral,positive,False,neutral,neutral,True,up,down,0.013228307670263145,0.9237198392561844,3.452005438637539
