date_t,date_t1,target_market_date,real_label,generated_label,real_signal,generated_signal,actual_direction,actual_return_1d,generated_direction_correct,real_direction_correct,abs_return_1d,volatility_bucket
2023-05-09,2023-05-10,2023-05-10,positive,neutral,1,0,1,0.004672361380176,False,True,0.004672361380176,low
2023-05-10,2023-05-11,2023-05-11,negative,neutral,-1,0,-1,-0.0017439777402415,False,True,0.0017439777402415,low
2023-05-11,2023-05-12,2023-05-12,neutral,neutral,0,0,-1,-0.0013102868961831,False,False,0.0013102868961831,low
2023-05-15,2023-05-16,2023-05-16,positive,negative,1,-1,-1,-0.0066826703962725,True,False,0.0066826703962725,high
2023-05-16,2023-05-17,2023-05-17,neutral,neutral,0,0,1,0.0121389664505255,False,False,0.0121389664505255,high
2023-05-17,2023-05-18,2023-05-18,neutral,neutral,0,0,1,0.0096332150715658,False,False,0.0096332150715658,high
2023-05-18,2023-05-19,2023-05-19,neutral,neutral,0,0,-1,-0.0014550863563069,False,False,0.0014550863563069,low
2023-05-22,2023-05-23,2023-05-23,positive,neutral,1,0,-1,-0.011222837486886,False,False,0.011222837486886,high
2023-05-23,2023-05-24,2023-05-24,neutral,negative,0,-1,-1,-0.0072448019187405,True,False,0.0072448019187405,high
2023-05-24,2023-05-25,2023-05-25,positive,neutral,1,0,1,0.0086598982955246,False,True,0.0086598982955246,high
2023-05-25,2023-05-26,2023-05-26,positive,negative,1,-1,1,0.0129506697123649,False,True,0.0129506697123649,high
2023-05-26,2023-05-27,2023-05-30,neutral,neutral,0,0,1,0.0003809429700836,False,False,0.0003809429700836,low
2023-05-30,2023-05-31,2023-05-31,positive,neutral,1,0,-1,-0.0055452106546717,False,False,0.0055452106546717,high
2023-05-31,2023-06-01,2023-06-01,neutral,neutral,0,0,1,0.0095010198940133,False,False,0.0095010198940133,high
2023-06-01,2023-06-02,2023-06-02,negative,positive,-1,1,1,0.0144611587824166,True,False,0.0144611587824166,high
2023-06-05,2023-06-06,2023-06-06,neutral,neutral,0,0,1,0.0021774588210983,False,False,0.0021774588210983,low
2023-06-06,2023-06-07,2023-06-07,positive,neutral,1,0,-1,-0.0034577272400275,False,False,0.0034577272400275,low
2023-06-07,2023-06-08,2023-06-08,neutral,neutral,0,0,1,0.0060485691329945,False,False,0.0060485691329945,high
2023-06-08,2023-06-09,2023-06-09,neutral,positive,0,1,1,0.0017943024372815,True,False,0.0017943024372815,low
2023-06-12,2023-06-13,2023-06-13,neutral,neutral,0,0,1,0.0065929367211174,False,False,0.0065929367211174,high
2023-06-13,2023-06-14,2023-06-14,neutral,neutral,0,0,1,0.0011908327057914,False,False,0.0011908327057914,low
2023-06-14,2023-06-15,2023-06-15,neutral,neutral,0,0,1,0.0123976703383905,False,False,0.0123976703383905,high
2023-06-15,2023-06-16,2023-06-16,positive,positive,1,1,-1,-0.0070944749325265,False,False,0.0070944749325265,high
2023-06-20,2023-06-21,2023-06-21,positive,neutral,1,0,-1,-0.0051237254035003,False,False,0.0051237254035003,low
2023-06-21,2023-06-22,2023-06-22,neutral,positive,0,1,1,0.0036097101103738,True,False,0.0036097101103738,low
2023-06-22,2023-06-23,2023-06-23,neutral,neutral,0,0,-1,-0.0075600060404542,False,False,0.0075600060404542,high
2023-06-23,2023-06-24,2023-06-26,neutral,negative,0,-1,-1,-0.0040857529802735,True,False,0.0040857529802735,low
2023-06-26,2023-06-27,2023-06-27,neutral,negative,0,-1,1,0.0109633111430609,False,False,0.0109633111430609,high
2023-06-27,2023-06-28,2023-06-28,positive,neutral,1,0,1,0.000504393273105,False,True,0.000504393273105,low
